2025-01-08 10:37:17,150: Actions: [3, 3, 1, 1, 1, 3, 2, 3, 1, 4, 4, 4, 2, 1, 1, 1]
2025-01-08 10:37:18,401: Finished backprop iter 0 in 1.75 seconds.
2025-01-08 10:37:18,401: Loss: 222.44. <p_g> 0.02 <p_x> 0.00 <x_gen> 71.97 <x_g> 71.97 <x_p> 71.79 <g> 0.00                     <reg_g> 4.72 <reg_p> 1.97
2025-01-08 10:37:18,401: Accuracy: <p> 3.12% <g> 4.06% <gt> 4.06%
2025-01-08 10:37:18,404: Parameters: <max_hebb> 0.00 <eta> 0.00 <lambda> 0.00 <p2g_scale_offset> 0.88
2025-01-08 10:37:18,404: Weights:[np.float64(0.0005), np.float64(5.9601461011058844e-05), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(0.0005), np.float64(0.00999999975), np.float64(0.019995000000000002)]
2025-01-08 10:37:18,404:
2025-01-08 12:15:02,510: IDs: [np.int64(59), np.int64(43), np.int64(57), np.int64(22), np.int64(36), np.int64(72), np.int64(79), np.int64(80), np.int64(63), np.int64(80), np.int64(38), np.int64(11), np.int64(12), np.int64(58), np.int64(102), np.int64(6)]
2025-01-08 12:15:02,511: Objs: [18, 33, 6, 30, 15, 21, 26, 21, 39, 41, 27, 12, 12, 29, 30, 18]
2025-01-08 12:15:02,511: Actions: [3, 2, 2, 1, 4, 2, 1, 1, 0, 1, 3, 2, 3, 1, 4, 4]
2025-01-08 12:15:02,511: IDs: [np.int64(69), np.int64(44), np.int64(58), np.int64(10), np.int64(35), np.int64(73), np.int64(67), np.int64(70), np.int64(63), np.int64(70), np.int64(50), np.int64(12), np.int64(20), np.int64(48), np.int64(101), np.int64(5)]
2025-01-08 12:15:02,512: Objs: [28, 22, 24, 2, 3, 16, 28, 22, 39, 8, 12, 42, 6, 3, 3, 27]
2025-01-08 12:15:02,512: Actions: [3, 3, 2, 2, 3, 1, 1, 2, 1, 0, 2, 4, 2, 4, 4, 4]
2025-01-08 12:15:02,512: IDs: [np.int64(79), np.int64(52), np.int64(59), np.int64(11), np.int64(43), np.int64(63), np.int64(55), np.int64(71), np.int64(55), np.int64(70), np.int64(51), np.int64(11), np.int64(21), np.int64(47), np.int64(100), np.int64(4)]
2025-01-08 12:15:02,512: Objs: [35, 16, 37, 39, 21, 44, 43, 4, 21, 8, 19, 12, 35, 15, 17, 10]
2025-01-08 12:15:02,513: Actions: [3, 1, 1, 3, 4, 4, 1, 2, 3, 2, 4, 3, 1, 2, 3, 4]
2025-01-08 12:15:02,513: IDs: [np.int64(89), np.int64(44), np.int64(49), np.int64(23), np.int64(42), np.int64(62), np.int64(43), np.int64(72), np.int64(63), np.int64(71), np.int64(50), np.int64(21), np.int64(13), np.int64(48), np.int64(112), np.int64(3)]
2025-01-08 12:15:02,513: Objs: [42, 22, 25, 10, 42, 34, 43, 15, 39, 21, 12, 31, 27, 3, 35, 32]
2025-01-08 12:15:02,513: Actions: [3, 4, 1, 4, 4, 4, 2, 4, 4, 3, 2, 3, 1, 1, 1, 3]
2025-01-08 12:15:02,514: IDs: [np.int64(99), np.int64(43), np.int64(39), np.int64(22), np.int64(41), np.int64(61), np.int64(44), np.int64(71), np.int64(62), np.int64(81), np.int64(51), np.int64(31), np.int64(5), np.int64(38), np.int64(100), np.int64(13)]
2025-01-08 12:15:02,514: Objs: [21, 33, 5, 30, 38, 2, 42, 4, 10, 16, 19, 9, 10, 35, 17, 23]
2025-01-08 12:15:02,514: Actions: [1, 2, 3, 1, 1, 4, 2, 3, 1, 1, 2, 1, 2, 4, 1, 3]
